id,name,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,source_dataset,source_file,source_group
cranberry-beans-canned,cranberry beans canned,dataset serving,216,14.4,39.3,0.7,16.4,0,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
black-beans-cooked,black beans cooked,dataset serving,227,15.2,40.8,0.9,15,0,0.008,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
lima-beans-cooked,lima beans cooked,dataset serving,216,14.7,39.3,0.7,13.2,5.5,0.012,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
mungo-beans-raw,mungo beans raw,dataset serving,706,52.2,122.1,3.4,37.9,0,0.004,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
pigeon-peas-raw,pigeon peas raw,dataset serving,703,44.5,128.7,3.1,30.8,0,0.04,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
fava-beans-canned,fava beans canned,dataset serving,182,14,31.8,0.6,9.5,0,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
yellow-snap-beans-raw,yellow snap beans raw,dataset serving,31,1.8,7.1,0.1,3.4,0,0.085,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
snap-beans-raw,snap beans raw,dataset serving,31,1.8,7,0.2,2.7,3.3,0.025,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
yellow-snap-beans-canned,yellow snap beans canned,dataset serving,36,1.9,8.4,0.2,3.6,0,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
pigeon-peas-cooked,pigeon peas cooked,dataset serving,203,11.4,39.1,0.6,11.3,0,0.036,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
catjang-cowpeas-raw,catjang cowpeas raw,dataset serving,573,39.8,99.6,3.5,17.9,0,0.07,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
navy-beans-cooked,navy beans cooked,dataset serving,255,15,47.4,1.1,19.1,0.7,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
mothbeans-raw,mothbeans raw,dataset serving,672,45,120.6,3.2,0,0,0.001,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
cowpeas-cooked,cowpeas cooked,dataset serving,81,5.4,14.5,0.4,4.6,2.3,0.037,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
mothbeans-cooked,mothbeans cooked,dataset serving,207,13.8,37.1,1,0,0,0.086,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
french-beans-cooked,french beans cooked,dataset serving,228,12.5,42.5,1.3,16.6,0,0.003,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
lima-beans-raw,lima beans raw,dataset serving,602,38.2,112.8,1.2,33.8,15.1,0.078,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
winged-beans-raw,winged beans raw,dataset serving,744,54,75.9,29.7,47.1,0,0.09,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
adzuki-beans-cooked,adzuki beans cooked,dataset serving,294,17.3,57,0.2,16.8,0,0.079,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
black-beans-raw,black beans raw,dataset serving,662,41.9,121,2.8,30.1,4.1,0.065,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
catjang-cowpeas-cooked,catjang cowpeas cooked,dataset serving,200,13.9,34.7,1.2,6.2,0,0.021,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
